Date,Department,Ma_nhom_NSP1,NSP1_Name,NSP2_Name,NSP1_Code,NSP2_Code,Deliver_Plan,Plan_Type
2024-07,BH2,L3,3- SP SMART,Sản phẩm LED Smart,A003,B006,18234936870.0,Thang
2025-01,TMND_BH1,,,,,,250000000000.0,Thang
2023-10,BH2,L1,1- SP Công nghệ nền,Phích phổ thông,A001,B009,13049061000.0,Thang
2024-07,BH2,L4,4- SP LOCAL,Local,A004,B019,10169783.72,Quy
2025-01,BH1,L2,2- SP Chất lượng cao,Phích thể hiện nhiệt độ,A002,B010,6000000000.0,Quy
2024-10,BH1,L3,3- SP SMART,Thiết bị điều khiển,A003,B015,800000000.0,Thang
2023-10,BH2,L5,5- SP IOT,IoT,A005,B013,547825000.0,Thang
2025-01,BH1,L1,1- SP Công nghệ nền,Ruột phích,A001,B011,4000000000.0,Thang
2024-11,TMND_BH2,L3,3- SP SMART,,A003,,69000000000.0,Thang
2024-10,BH1,L6,6- KD DV & Trải nghiệm KH,KD DV & Trải nghiệm KH,A006,B017,1250000000.0,Thang
2024-11,TMND_BH2,L2,2- SP Chất lượng cao,,A002,,37000000000.0,Thang
2025-01,TMND,,,,,,6800000000000.0,Nam
2023-10,TMND,L4,4- SP LOCAL,Local,A004,B019,10715000.0,Thang
2025-01,CTY,L6,6- KD DV & Trải nghiệm KH,,A006,,7000000000.0,Quy
2024-11,TMND_BH1,L5,5- SP IOT,,A005,,15000000000.0,Thang
2023-10,CTY,L2,2- SP Chất lượng cao,SP LED G20,A002,B016,74856000.0,Thang
2023-10,BH1,L3,3- SP SMART,Sản phẩm nền tảng,A003,B018,451586000.0,Thang
2024-11,BH1,L1,1- SP Công nghệ nền,Phích cao cấp,A001,B008,22500000000.0,Thang
2024-07,BH2,L1,1- SP Công nghệ nền,Ballat đèn Huỳnh quang,A001,B014,93107563.92,Quy
2023-10,CTY,L2,2- SP Chất lượng cao,Đèn LED tiên tiến,A002,B004,18668439000.0,Thang
2024-11,CTY,L1,1- SP Công nghệ nền,,A001,,441000000000.0,Thang
2024-07,BH2,L3,3- SP SMART,Thiết bị điện thông minh,A003,B020,139230742.6,Thang
2024-07,BH2,L2,2- SP Chất lượng cao,Sản phẩm CTDA,A002,B002,5185500357.0,Quy
2023-10,PXK,L1,1- SP Công nghệ nền,Ruột phích,A001,B011,11167061000.0,Thang
2024-09,BH2,L1,1- SP Công nghệ nền,"Chao, choá",A001,B012,397120473.7,Thang
2025-02,BH1,L1,1- SP Công nghệ nền,Ruột phích,A001,B011,4050000000.0,Thang
2025-01,BH1,L6,6- KD DV & Trải nghiệm KH,KD DV & Trải nghiệm KH,A006,B017,3000000000.0,Thang
2025-02,TMND_BH2,,,,,,90000000000.0,Thang
2024-11,TMND,L3,3- SP SMART,,A003,,143000000000.0,Thang
2024-10,BH1,L1,1- SP Công nghệ nền,Phích cao cấp,A001,B008,15750000000.0,Thang
2023-10,BH2,L1,1- SP Công nghệ nền,Ballat đèn Huỳnh quang,A001,B014,60674000.0,Thang
2024-10,BH1,L5,5- SP IOT,IoT,A005,B013,18600000000.0,Quy
2024-09,BH2,L5,5- SP IOT,IoT,A005,B013,594865454.2,Thang
2025-01,BH1,L5,5- SP IOT,IoT,A005,B013,9000000000.0,Thang
2023-10,BH2,L1,1- SP Công nghệ nền,Thiết bị điện,A001,B005,5053580000.0,Thang
2024-01,PXK,,,,,,990000000000.0,Nam
2025-02,BH1,L2,2- SP Chất lượng cao,Phích thể hiện nhiệt độ,A002,B010,2025000000.0,Thang
2024-07,PXK,,,,,,250000000000.0,Quy
2024-07,TMND,,,,,,1217000000000.0,Quy
2025-01,TMND_BH3,,,,,,130000000000.0,Thang
2025-01,BH1,L1,1- SP Công nghệ nền,Ruột phích,A001,B011,12000000000.0,Quy
2024-07,BH2,L3,3- SP SMART,Thiết bị điều khiển,A003,B015,602230942.4,Thang
2024-11,TMND_BH2,L6,6- KD DV & Trải nghiệm KH,,A006,,5000000000.0,Thang
2024-08,BH2,L3,3- SP SMART,Sản phẩm LED Smart,A003,B006,26312804786.0,Thang
2024-09,BH2,L1,1- SP Công nghệ nền,Máng đèn,A001,B007,1414024438.0,Thang
2024-08,BH2,L1,1- SP Công nghệ nền,Ruột phích,A001,B011,1778140964.0,Thang
2024-08,BH2,L1,1- SP Công nghệ nền,Máng đèn,A001,B007,1268730022.0,Thang
2024-11,TMND,L2,2- SP Chất lượng cao,,A002,,76000000000.0,Thang
2024-07,BH2,L3,3- SP SMART,Sản phẩm nền tảng,A003,B018,515510874.1,Thang
2024-10,BH1,L5,5- SP IOT,IoT,A005,B013,5000000000.0,Thang
2023-10,CTY,L3,3- SP SMART,Thiết bị điều khiển,A003,B015,3381187000.0,Thang
2024-07,BH2,L1,1- SP Công nghệ nền,Thiết bị điện,A001,B005,9004473285.0,Quy
2023-10,BH2,L3,3- SP SMART,Sản phẩm LED Smart,A003,B006,75889261000.0,Thang
2024-12,BH2,,,,,,476700000000.0,Thang
2024-08,BH2,L1,1- SP Công nghệ nền,"Chao, choá",A001,B012,356315388.9,Thang
2024-11,BH1,L1,1- SP Công nghệ nền,Sản phẩm LED nền,A001,B001,121700000000.0,Thang
2025-01,TMND_BH3,,,,,,520000000000.0,Quy
2023-10,TMND,L1,1- SP Công nghệ nền,Thiết bị điện,A001,B005,1864005000.0,Thang
2024-09,BH2,L2,2- SP Chất lượng cao,Phích thể hiện nhiệt độ,A002,B010,99590777.83,Thang
